author_id;username;name;description;tweets_count;Type;Cate_1;Cate_2;Cate_3;created_at;geo;id;lang;like_count;quote_count;reply_count;retweet_count;source;tweet
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-31 16:15:08+00:00; ;1509564963580485640;en;7819;139;290;1896;Twitter for iPhone;"I’ve invited over 100 leading voices from around the world - scientists, experts, activists and authors to create a book that covers the climate- and ecological crisis from a holistic perspective. The Climate Book will be released in October.

https://t.co/Q3r5zEThBN https://t.co/dnIONDeRcX"
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-28 17:14:13+00:00; ;1508492669391101956;en;4753;164;179;2081;Twitter Web App;"""Antarctic ice shelf nearly the size of Los Angeles collapsed as temperatures soared to 40 above normal""
https://t.co/dGiqpe9FfH"
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-25 14:07:30+00:00; ;1507358515714740225;en;8219;97;230;1563;Twitter for iPhone;School strike week 188. Thousands of people showed up to the climate strike in Stockholm! #FridaysForFuture #PeopleNotProfit #ClimateStrike https://t.co/ftwURCHcOn
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-24 19:27:43+00:00; ;1507076715935408128;en;354;1;16;36;Twitter for iPhone;Graphics by @namevdelang
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-24 19:27:30+00:00; ;1507076660713168896;en;4114;97;160;1311;Twitter for iPhone;"Tomorrow is the day! All over the planet people will strike, march and protest to demand world leaders to prioritise #PeopleNotProfit

More info can be found at https://t.co/Ynp0V3jQ8q

Where will you be joining from?
#FridaysForFuture #ClimateStrike https://t.co/KXPzOV2cYj"
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-24 19:20:53+00:00; ;1507074994345500679;en;2868;27;91;728;Twitter Web App;"""Russian and Ukrainian environmental activists have made a joint call for a European embargo on Russian oil, gas and coal""
#PeopleNotProfit https://t.co/N5k9ktk7Yr"
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-22 12:21:59+00:00; ;1506244799376076802;en;4651;167;532;1298;Twitter Web App;"Sweden today confirmed its shortsighted, racist, colonial and nature-hostile approach. Sweden pretends to be a leader for environment and human rights, but at home they violate indigenous rights and continue waging a war on nature. The world will remember this.
#StandWithSápmi https://t.co/r1grDdqcEm"
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-22 10:17:18+00:00; ;1506213423230631937;en;596;4;25;153;Twitter Web App;"Read more about our #PeopleNotProfit narrative here: https://t.co/fo03MVJRoT

Find your local strike on this map: https://t.co/96uKZKS24y
Don't forget to look up your local FFF group for information and give them a follow!

Register your own strike here: https://t.co/DY9YMMXkYe"
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-22 10:16:12+00:00; ;1506213145303474178;en;3449;54;126;1126;Twitter Web App;"The next global #ClimateStrike is getting closer! This Friday, March 25th, we will take it to the streets again to protest for justice - for our present and our future.

Here is some information to get you started! 🧵
#FridaysForFuture #PeopleNotProfit
(Design by @namevdelang ) https://t.co/TA9AkGmMCL"
1006419421244678144;GretaThunberg;Greta Thunberg;Climate- and environmental activist with Asperger’s Born at 375 ppm;11262;Paciente;ASP;nan;nan;2022-03-19 08:11:23+00:00; ;1505094570048114693;en;6490;293;307;2942;Twitter Web App;"""Parts of eastern Antarctica have seen temperatures hover 70 degrees (40 Celsius) above normal for three days and counting""
https://t.co/FPIspIFQI1"
